Raphus solitarius,Threskiornithidae,3596716,"https://github.com/OpenTreeOfLife/feedback/issues/186"
Cyclophora,Ecdysozoa,1030079,""
Cyclophora,SAR,678569,""
Pohlia,Foraminifera,5325989,"extinct"
Pohlia,Bryophyta,414928,""
Polystoma,Platyhelminthes,1038408,"there are also Polystomas in Porifera and Crustacea (need ids)"
Tuber,Fungi,508058,""
Tuber,SAR,5352207,""
Enterobryus oxidi,Ichthyosporea,892552,"placed in Ichthyosporea by SILVA"
Lonicera,Pentapetalae,649885,""
Aporia agathon,Lepidoptera,690,"not a plant"
Tylosaurus proriger,Squamata,4946009,"mososaur, not fish"
Enidae,Gastropoda,591146,"snail, not foram"
Buliminidae,Foraminifera,137892,"foram, not snail"
