name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Lobelia nicotianaefolia	|	76579	|	synonym	|	Lobelia nicotianaefolia (synonym for Lobelia nicotianifolia)	|	ncbi:76579	|	
Lobelia sp. EBK-2007d	|	471953	|	includes	|	Lobelia sp. EBK-2007d (synonym for Lobelia ionantha)	|	ncbi:471953	|	
Lobelia perscifolia	|	1795064	|	misspelling	|	Lobelia perscifolia (synonym for Lobelia persicifolia)	|	ncbi:1795064	|	
Rhigophyllum squarrosum	|	378892	|	misspelling	|	Rhigophyllum squarrosum (synonym for Rhigiophyllum squarrosum)	|	ncbi:378892	|	
Codonopsis purpurea	|	1392602	|	synonym	|	Codonopsis purpurea (synonym for Pankycodon purpureus)	|	ncbi:1392602	|	
Pankycodon perpureus	|	1392602	|	misspelling	|	Pankycodon perpureus (synonym for Pankycodon purpureus)	|	ncbi:1392602	|	
Homocodon pedicellatum	|	1148161	|	synonym	|	Homocodon pedicellatum (synonym for Homocodon pedicellatus)	|	ncbi:1148161	|	
Campanumoea lancifolia	|	421875	|	synonym	|	Campanumoea lancifolia (synonym for Cyclocodon lancifolium)	|	ncbi:421875	|	
Cyclocodon lancifolious	|	1392613	|	misspelling	|	Cyclocodon lancifolious (synonym for Cyclocodon lancifolius)	|	ncbi:1392613	|	
Phyteuma pinnata	|	239464	|	misspelling	|	Phyteuma pinnata (synonym for Petromarula pinnata)	|	ncbi:239464	|	
Phyteuma pinnatum	|	239464	|	synonym	|	Phyteuma pinnatum (synonym for Petromarula pinnata)	|	ncbi:239464	|	
Platycodon grandiflorum	|	94286	|	synonym	|	Platycodon grandiflorum (synonym for Platycodon grandiflorus)	|	ncbi:94286	|	
Mindium laevigatum	|	1241221	|	synonym	|	Mindium laevigatum (synonym for Michauxia laevigata)	|	ncbi:1241221	|	
Michauxia tchihatcheffi	|	239460	|	misspelling	|	Michauxia tchihatcheffi (synonym for Michauxia tchihatcheffii)	|	ncbi:239460	|	
Michauxia tchihatchewii	|	239460	|	synonym	|	Michauxia tchihatchewii (synonym for Michauxia tchihatcheffii)	|	ncbi:239460	|	
Jasione heldrechii	|	284227	|	misspelling	|	Jasione heldrechii (synonym for Jasione heldreichii)	|	ncbi:284227	|	
Edrianthus graminifolius	|	103995	|	misspelling	|	Edrianthus graminifolius (synonym for Edraianthus graminifolius)	|	ncbi:103995	|	
Edraianthus parnacissus	|	440372	|	misspelling	|	Edraianthus parnacissus (synonym for Edraianthus parnassicus)	|	ncbi:440372	|	
Edraianthus hercegovinus	|	440369	|	synonym	|	Edraianthus hercegovinus (synonym for Edraianthus hercegovinicus)	|	ncbi:440369	|	
Campanula pichleri	|	614175	|	synonym	|	Campanula pichleri (synonym for Asyneuma pichleri)	|	ncbi:614175	|	
Campanula canescens	|	614174	|	synonym	|	Campanula canescens (synonym for Asyneuma canescens)	|	ncbi:614174	|	
Phyteuma canescen	|	614174	|	synonym	|	Phyteuma canescen (synonym for Asyneuma canescens)	|	ncbi:614174	|	
Asyneuma limoniifolium	|	361370	|	synonym	|	Asyneuma limoniifolium (synonym for Asyneuma limonifolium)	|	ncbi:361370	|	
Campanula trichocalycina	|	614176	|	synonym	|	Campanula trichocalycina (synonym for Asyneuma trichocalycinum)	|	ncbi:614176	|	
Clermontia kakeana x micrantha	|	1269072	|	misspelling	|	Clermontia kakeana x micrantha (synonym for Clermontia kakeana x Clermontia micrantha)	|	ncbi:1269072	|	
Clermontia montis-loa x parviflora	|	1269073	|	misspelling	|	Clermontia montis-loa x parviflora (synonym for Clermontia montis-loa x Clermontia parviflora)	|	ncbi:1269073	|	
Clermontia calophyla	|	1263639	|	misspelling	|	Clermontia calophyla (synonym for Clermontia calophylla)	|	ncbi:1263639	|	
Clermontia waimea	|	138108	|	misspelling	|	Clermontia waimea (synonym for Clermontia waimeae)	|	ncbi:138108	|	
Clermontia persicifloia	|	138105	|	misspelling	|	Clermontia persicifloia (synonym for Clermontia persicifolia)	|	ncbi:138105	|	
Clermontia grandiflora x micrantha	|	1269071	|	misspelling	|	Clermontia grandiflora x micrantha (synonym for Clermontia grandiflora x Clermontia micrantha)	|	ncbi:1269071	|	
Codonopsis grey-wilsonii	|	1392597	|	synonym	|	Codonopsis grey-wilsonii (synonym for Pseudocodon grey-wilsonii)	|	ncbi:1392597	|	
Codonopsis greywilsonii	|	1392597	|	synonym	|	Codonopsis greywilsonii (synonym for Pseudocodon grey-wilsonii)	|	ncbi:1392597	|	
Pseudocodon greywilsonii	|	1392597	|	synonym	|	Pseudocodon greywilsonii (synonym for Pseudocodon grey-wilsonii)	|	ncbi:1392597	|	
Codonopsis rosulata	|	1392603	|	synonym	|	Codonopsis rosulata (synonym for Pseudocodon rosulatus)	|	ncbi:1392603	|	
Codonopsis vinciflora	|	1392610	|	synonym	|	Codonopsis vinciflora (synonym for Pseudocodon vinciflorus)	|	ncbi:1392610	|	
Codonopsis graminifolia	|	1392596	|	synonym	|	Codonopsis graminifolia (synonym for Pseudocodon graminifolius)	|	ncbi:1392596	|	
Codonopsis hirsuta	|	1392598	|	synonym	|	Codonopsis hirsuta (synonym for Pseudocodon hirsutus)	|	ncbi:1392598	|	
Codonopsis limprichtii var. hirsuta	|	1392598	|	synonym	|	Codonopsis limprichtii var. hirsuta (synonym for Pseudocodon hirsutus)	|	ncbi:1392598	|	
Codonopsis retroserrata	|	1676963	|	synonym	|	Codonopsis retroserrata (synonym for Pseudocodon retroserratus)	|	ncbi:1676963	|	
Phyteuma balbisii	|	703219	|	synonym	|	Phyteuma balbisii (synonym for Phyteuma cordatum)	|	ncbi:703219	|	
Phyteuma spicata	|	239469	|	misspelling	|	Phyteuma spicata (synonym for Phyteuma spicatum)	|	ncbi:239469	|	
Phyteuma pseudoorbiculare	|	1399312	|	synonym	|	Phyteuma pseudoorbiculare (synonym for Phyteuma pseudorbiculare)	|	ncbi:1399312	|	
Centropogon australis	|	1274815	|	synonym	|	Centropogon australis (synonym for Centropogon australis (E.Wimm.) Gleason, 1925)	|	ncbi:1274815	|	
Centropogon eilserii	|	1795057	|	misspelling	|	Centropogon eilserii (synonym for Centropogon eilersii)	|	ncbi:1795057	|	
Centropogon valeri	|	671250	|	synonym	|	Centropogon valeri (synonym for Centropogon valerioi)	|	ncbi:671250	|	
Centropogon valerii	|	671250	|	synonym	|	Centropogon valerii (synonym for Centropogon valerioi)	|	ncbi:671250	|	
Centropogon brittoninaus	|	1582551	|	misspelling	|	Centropogon brittoninaus (synonym for Centropogon brittonianus)	|	ncbi:1582551	|	
Centropogon salviaeformis	|	434395	|	synonym	|	Centropogon salviaeformis (synonym for Centropogon salviiformis)	|	ncbi:434395	|	
Burmeistera aff. bullatifolia Bacon 264A	|	1582527	|	includes	|	Burmeistera aff. bullatifolia Bacon 264A (synonym for Burmeistera aff. bullatifolia LPL-2014)	|	ncbi:1582527	|	
Wahlenbergia mauritiana	|	519296	|	synonym	|	Wahlenbergia mauritiana (synonym for Nesocodon mauritianus)	|	ncbi:519296	|	
Wahlenbergia hederaceae	|	239477	|	misspelling	|	Wahlenbergia hederaceae (synonym for Wahlenbergia hederacea)	|	ncbi:239477	|	
Wahlenbergia polyrichifolia	|	1348713	|	misspelling	|	Wahlenbergia polyrichifolia (synonym for Wahlenbergia polytrichifolia)	|	ncbi:1348713	|	
Codonopsis convolvulacea var. efilamentosa	|	1392591	|	synonym	|	Codonopsis convolvulacea var. efilamentosa (synonym for Codonopsis efilamentosa)	|	ncbi:1392591	|	
Campanumoea lanceolata	|	103999	|	synonym	|	Campanumoea lanceolata (synonym for Codonopsis lanceolata)	|	ncbi:103999	|	
Codonopsis obutusa	|	1678353	|	misspelling	|	Codonopsis obutusa (synonym for Codonopsis obtusa)	|	ncbi:1678353	|	
Campanumoea inflata	|	1392655	|	synonym	|	Campanumoea inflata (synonym for Codonopsis inflata)	|	ncbi:1392655	|	
Campanumoea javanica	|	94282	|	synonym	|	Campanumoea javanica (synonym for Codonopsis javanica)	|	ncbi:94282	|	
Codonopsis subcaposa	|	1392606	|	misspelling	|	Codonopsis subcaposa (synonym for Codonopsis subscaposa)	|	ncbi:1392606	|	
Codonopsis tsinglingensis	|	1392609	|	synonym	|	Codonopsis tsinglingensis (synonym for Codonopsis tsinlingensis)	|	ncbi:1392609	|	
Codonopis kawakamii	|	239434	|	misspelling	|	Codonopis kawakamii (synonym for Codonopsis kawakamii)	|	ncbi:239434	|	
Codonopsis pilosa	|	103998	|	synonym	|	Codonopsis pilosa (synonym for Codonopsis tubulosa)	|	ncbi:103998	|	
Codonopsis agentea	|	1392583	|	misspelling	|	Codonopsis agentea (synonym for Codonopsis argentea)	|	ncbi:1392583	|	
Campanumoea pilosula	|	86864	|	synonym	|	Campanumoea pilosula (synonym for Codonopsis pilosula)	|	ncbi:86864	|	
Codonopsis pilosella	|	86864	|	misspelling	|	Codonopsis pilosella (synonym for Codonopsis pilosula)	|	ncbi:86864	|	
Pseudocodon convolvulaceus	|	1392590	|	synonym	|	Pseudocodon convolvulaceus (synonym for Codonopsis convolvulacea)	|	ncbi:1392590	|	
Lysipomia spagnophila	|	74774	|	misspelling	|	Lysipomia spagnophila (synonym for Lysipomia sphagnophila)	|	ncbi:74774	|	
