# E.g. (without the # signs)
#command	name	rank	parent	context sourceInfo
#add	Acanthotrema frischii species Acanthotrema	Fungi if:516851
command name	rank	parent	context sourceInfo
add	Pinnularia gibba sp. Tor8 b	strain	Pinnularia gibba	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia sp. Pin 873 TM	strain	Pinnularia	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia sp. PinnC7	strain	Pinnularia	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia subcommutata sp. Pin 649 K	strain	Pinnularia	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia subcommutata sp. Pin 883	strain	Pinnularia	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia sp. Tor4 i	strain	Pinnularia	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia sp. Tor4 r	strain	Pinnularia	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia sp. Wie a	strain	Pinnularia	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia subanglica sp. Pin 650 K	strain	Pinnularia subanglica	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia subcapitata var. elongata sp. Wie c	strain	Pinnularia subcapitata var. elongata	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia subcommutata var. nonfasciata sp. Corsea 10	strain	Pinnularia subcommutata var. nonasciata	Naviculales http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia substrephoraphe sp. AM710503 strain	Pinnularia substrephoraphe	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia viridiformis sp. Enc2 a	strain	Pinnularia viridiformis	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia viridiformis sp. Pin 870 MG	strain	Pinnularia viridiformis	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia viridis sp. AM710490	 strain	Pinnularia viridis	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia blackfordensis sp. Bfp04 02	strain	Pinnularia blackfordensis	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
add	Pinnularia blackfordensis sp. Bfp5x8 F1-3	strain	Pinnularia blackfordensis	Naviculales	http://www.sciencedirect.com/science/article/pii/S1055790311003927
