uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
119454	|	935635	|	Ainsliaea foliosa	|	species	|	ncbi:418256	|		|		|	
119456	|	935635	|	Ainsliaea fragrans	|	species	|	ncbi:418257	|		|		|	
708368	|	119456	|	Ainsliaea fragrans var. integrifolia	|	varietas	|	ncbi:418258	|		|	infraspecific	|	
119460	|	935635	|	Ainsliaea faurieana	|	species	|	ncbi:418255	|		|		|	
119465	|	935635	|	Ainsliaea aptera	|	species	|	ncbi:418250	|		|		|	
119467	|	935635	|	Ainsliaea apteroides	|	species	|	ncbi:418251	|		|		|	
400831	|	935635	|	Ainsliaea walkeri	|	species	|	ncbi:418278	|		|		|	
67817	|	935635	|	Ainsliaea yunnanensis	|	species	|	ncbi:418279	|		|		|	
400857	|	935635	|	Ainsliaea oblonga	|	species	|	ncbi:418273	|		|		|	
223817	|	935635	|	Ainsliaea acerifolia	|	species	|	ncbi:41470	|		|		|	
641044	|	223817	|	Ainsliaea acerifolia var. subapoda	|	varietas	|	ncbi:418247	|		|	infraspecific	|	
641046	|	223817	|	Ainsliaea acerifolia var. acerifolia	|	varietas	|	ncbi:418246	|		|	infraspecific	|	
513920	|	935635	|	Ainsliaea sp. HGK-2000	|	species	|	ncbi:130233	|		|		|	
513923	|	935635	|	Ainsliaea dissecta	|	species	|	ncbi:130235	|		|		|	
551349	|	935635	|	Ainsliaea apiculata	|	species	|	ncbi:418248	|		|		|	
551341	|	551349	|	Ainsliaea apiculata var. acerifolia	|	varietas	|	ncbi:418249	|		|	infraspecific	|	
588732	|	935635	|	Ainsliaea latifolia	|	species	|	ncbi:418267	|		|		|	
588754	|	588732	|	Ainsliaea latifolia subsp. henryi	|	subspecies	|	ncbi:418268	|		|	infraspecific	|	
588734	|	935635	|	Ainsliaea lancifolia	|	species	|	ncbi:418266	|		|		|	
588736	|	935635	|	Ainsliaea heterantha	|	species	|	ncbi:418265	|		|		|	
588738	|	935635	|	Ainsliaea grossedentata	|	species	|	ncbi:418263	|		|		|	
588740	|	935635	|	Ainsliaea gracilis	|	species	|	ncbi:418262	|		|		|	
588742	|	935635	|	Ainsliaea gongshanensis	|	species	|	ncbi:418261	|		|		|	
588744	|	935635	|	Ainsliaea glabra	|	species	|	ncbi:418260	|		|		|	
588752	|	935635	|	Ainsliaea lijiangensis	|	species	|	ncbi:418269	|		|		|	
119452	|	935635	|	Ainsliaea fulvipes	|	species	|	ncbi:418259	|		|		|	
119462	|	935635	|	Ainsliaea cordifolia	|	species	|	ncbi:418252	|		|		|	
708383	|	935635	|	Ainsliaea elegans	|	species	|	ncbi:418253	|		|		|	
119458	|	708383	|	Ainsliaea elegans var. strigosa	|	varietas	|	ncbi:418254	|		|	infraspecific	|	
744889	|	935635	|	Ainsliaea uniflora	|	species	|	ncbi:418280	|		|		|	
139111	|	46248	|	Hecastocleidoideae	|	subfamily	|	ncbi:219094	|		|	sibling_lower	|	
561258	|	139111	|	Hecastocleis	|	genus	|	ncbi:220497,gbif:3150314	|		|		|	
561253	|	561258	|	Hecastocleis shockleyi	|	species	|	ncbi:220498,gbif:3150315	|		|		|	
482586	|	46248	|	Wunderlichioideae	|	subfamily	|	ncbi:494663	|		|	sibling_lower	|	
81085	|	482586	|	Hyalideae	|	tribe	|	ncbi:494668	|		|		|	
81083	|	81085	|	Ianthopappus	|	genus	|	ncbi:494669,gbif:3147771	|		|		|	
375632	|	81083	|	Ianthopappus corymbosus	|	species	|	ncbi:496632	|		|		|	
655279	|	81085	|	Hyalis	|	genus	|	ncbi:494670,gbif:2743569	|		|		|	
317671	|	655279	|	Hyalis argentea	|	species	|	ncbi:496630	|		|		|	
655281	|	81085	|	Leucomeris	|	genus	|	ncbi:494671,gbif:3113885	|		|		|	
317681	|	655281	|	Leucomeris spectabilis	|	species	|	ncbi:496635	|		|		|	
950824	|	81085	|	Nouelia	|	genus	|	ncbi:130284,gbif:3114414	|		|		|	
837724	|	950824	|	Nouelia insignis	|	species	|	ncbi:130285	|		|		|	
81095	|	482586	|	Wunderlichieae	|	tribe	|	ncbi:494664	|		|		|	
482578	|	81095	|	Stomatochaeta	|	genus	|	ncbi:494667,gbif:3150364	|		|		|	
892226	|	482578	|	Stomatochaeta condensata	|	species	|	ncbi:496649	|		|		|	
482580	|	81095	|	Stenopadus	|	genus	|	ncbi:494666,gbif:3095395	|		|		|	
954186	|	482580	|	Stenopadus talaumifolius	|	species	|	ncbi:496648	|		|		|	
482582	|	81095	|	Chimantaea	|	genus	|	ncbi:494665,gbif:3140141	|		|		|	
343660	|	482582	|	Chimantaea humilis	|	species	|	ncbi:496607	|		|		|	
1083967	|	81095	|	Wunderlichia	|	genus	|	ncbi:375930,gbif:4933478	|		|		|	
1083965	|	1083967	|	Wunderlichia mirabilis	|	species	|	ncbi:375931	|		|		|	
527107	|	46248	|	Carduoideae	|	subfamily	|	ncbi:219103	|		|	sibling_lower	|	
5682	|	527107	|	Tarchonantheae	|	tribe	|	ncbi:219116	|		|	sibling_lower	|	
169193	|	5682	|	Tarchonanthus	|	genus	|	ncbi:41649,gbif:3141273	|		|		|	
