name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Haynaldia	|	2756426	|	synonym	|	Haynaldia (synonym for Lobelia)	|	gbif:2756426	|	
Dortmanna	|	2756426	|	synonym	|	Dortmanna (synonym for Lobelia)	|	gbif:2756426	|	
Trimeris	|	2756426	|	synonym	|	Trimeris (synonym for Lobelia)	|	gbif:2756426	|	
Speirema	|	2756426	|	synonym	|	Speirema (synonym for Lobelia)	|	gbif:2756426	|	
Colensoa	|	2756426	|	synonym	|	Colensoa (synonym for Lobelia)	|	gbif:2756426	|	
Piddingtonia	|	2756426	|	synonym	|	Piddingtonia (synonym for Lobelia)	|	gbif:2756426	|	
Isotoma	|	2756426	|	synonym	|	Isotoma (synonym for Lobelia)	|	gbif:2756426	|	
Mezleria	|	2756426	|	synonym	|	Mezleria (synonym for Lobelia)	|	gbif:2756426	|	
Tupa	|	2756426	|	synonym	|	Tupa (synonym for Lobelia)	|	gbif:2756426	|	
Calcaratolobelia	|	2756426	|	synonym	|	Calcaratolobelia (synonym for Lobelia)	|	gbif:2756426	|	
Laurentia	|	2756426	|	synonym	|	Laurentia (synonym for Lobelia)	|	gbif:2756426	|	
Parastranthus	|	2756426	|	synonym	|	Parastranthus (synonym for Lobelia)	|	gbif:2756426	|	
Rapuntium	|	2756426	|	synonym	|	Rapuntium (synonym for Lobelia)	|	gbif:2756426	|	
Unigenes	|	2756426	|	synonym	|	Unigenes (synonym for Lobelia)	|	gbif:2756426	|	
Pratia	|	2756426	|	synonym	|	Pratia (synonym for Lobelia)	|	gbif:2756426	|	
Solenopsis	|	2756426	|	synonym	|	Solenopsis (synonym for Lobelia)	|	gbif:2756426	|	
Leptocodon	|	3165850	|	synonym	|	Leptocodon (synonym for Codonopsis)	|	gbif:3165850	|	
Numaeacampa	|	3165850	|	synonym	|	Numaeacampa (synonym for Codonopsis)	|	gbif:3165850	|	
Glosocomia	|	3165850	|	synonym	|	Glosocomia (synonym for Codonopsis)	|	gbif:3165850	|	
Cyclocodon	|	3165850	|	synonym	|	Cyclocodon (synonym for Codonopsis)	|	gbif:3165850	|	
Campanumoea	|	3165850	|	synonym	|	Campanumoea (synonym for Codonopsis)	|	gbif:3165850	|	
