Taxon  ,Current Parent,Proposed Parent,Reference,Notes,,,http://ec2-54-212-144-245.us-west-2.compute.amazonaws.com/opentree/argus/otol.draft.22@4/cellular-organisms
Trimosinidae,Chromista,Buliminidea ,WORMS,,,,
Capsammina,Chromista,Allogromida ,WORMS,,,,
Scurciatoforamen,Chromista,Foraminifera ,WORMS,,,,
Heronalleniidae,Chromista,Glabratellidea ,,,,,
Virgulinellidae,Chromista,Fursenkoinoidea ,****,,,,
Bueningiidae,Chromista,Discorbidae,,,,,
Pninaella,Chromista,Asterigerinidae,,,,,
Umbellina,Chromista,Foraminifera ,,,,,
Tortoplectellidae,Chromista,Bolivinitidae,,,,,
Crambis,Chromista,Foraminifera ,,,,,
Caecitellidae,Chromista,Bicosoecida,WORMS,,,,
Cornuspiridae,Chromista,Cornuspiridae,,,,,
Halyphysemidae,Chromista,Astrorhizidae,,,,,
Trochamminula,Chromista,Trochamminidae,,,,,
Trochamminoidae,Chromista,Ammodiscidae,,,,,
Spirotectinidae,Chromista,Nonionidea,,,,,
Cactos,Chromista,Foraminifera,,Foraminifera incertae sedis ,,,
Lagynis,Chromista,Lagynidae,,,,,
Pilalla,Chromista,Lagynidae ,,,,,
Ophiotuba,Chromista,Lagynidae ,,,,,
Rhumblerinella,Chromista,Lagynidae ,,,,,
Earlmyersia,Chromista,Discorbinellidae,,,,,
Textulariopsidae,Chromista,Spiroplectamminidae,,,,,
Sphaeramminidae,Chromista,Lituolidae,,,,,
Telamminidae,Chromista,Psammosphaeridae,,,,,
Rhaphidohelix,Chromista,Foraminifera ,,,,,
Quadrimorphinidae,Chromista,Chilostomellidae,,,,,
Fischerinellidae,Chromista,incertae,,,,,
Aeolomorphelloides,Chromista,Caucasinidae,,,,,
Mississippinidae,Chromista,Discorbidae,,,,,
Tritaxiidae,Chromista,Verneuilinidae,,,,,
Seiglieina,Chromista,Foraminifera ,,,,,
Jugimuramminidae,Chromista,Hippocrepinidae,,,,,
Harpakter,Chromista,incertae,,,,,
Duquepsammiidae,Chromista,incertae,,,,,
Sagenista,Chromista,,,,,,
Ochrophyta,Chromista,Stramenopile,,,,,
Labyrinthista,Chromista,incertae,,,,,
Cyclamminidae,Chromista,Loftusiidae,,,,,
Pulvinulina,Chromista,Foraminifera ,,,,,
Rotalina,Chromista,Bagginidae,,status--unaccepted??,,,
Ovulida,Chromista,Foraminifera ,,,,,
Staphylion,Chromista,Foraminifera ,,,,,
Trioxeia,Chromista,Foraminifera ,,,,,
Lituotubidae,Chromista,Lituolida,,,,,
Discamminidae,Chromista,Lituolida,,,,,
Hippocrepinidae,Chromista,Hippocrepinidea,,,,,
Schultzella,Chromista,Lagynidae ,,,,,
Hooperellidae,Chromista,Cassidulinidae,,,,,
Polysaccamminidae,Chromista,Psammosphaeridae,,,,,
Valvulamminidae,Chromista,Eggerellidae,,,,,
Pseudobolivinidae,Chromista,Spiroplectamminidae,,*,,,
Neusina,Chromista,Foraminifera ,,,,,
Ammobaculinidae,Chromista,Recurvididae ,,,,,
Marenda,Chromista,Foraminifera ,,,,,
Urnulina,Chromista,Foraminifera ,,,,,
Zoyaellidae,Chromista,Nubecularioidae,,,,,
Ammosphaeroidinidae,Chromista,Recurvididae ,,,,,
Trilocularenidae,Chromista,Rzehakinidae,,,,,
Skeletonia,Chromista,Komokiidae,,,,,
Reophacellidae,Chromista,Verneuilinidae,,,,,
Prolixoplectidae,Chromista,Verneuilinidae,,,,,
Sardammina,Chromista,Foraminifera ,,,,,
Rhaphidodendron,Chromista,Foraminifera ,,,,,
Hippocrepinellidae,Chromista,Astrorhizidae,,,,,
Planulinoididae,Chromista,Discorbinellidae,,,,,
Millettella,Chromista,Foraminifera ,,,,,
Pseudarcella,Chromista,Foraminifera ,,,,,
Nephridiophaga,Protozoa,incertae,,,,,
Pseudospora,Protozoa,Callithamniaceae,,,,,
Gymnococcus,Protozoa,incertae,,,,,
Enteromyxa,Protozoa,incertae,,,,,
Myxocystis,Protozoa,incertae,,,,,
Coccidium,Protozoa,Eimeriidae ,,Proposed parent is not in OTT,,,
Ellobiopsea,Protozoa,Protalveolata,,,,,
Perkinsea,Protozoa,Protalveolata,,,,,
Percolozoa,Protozoa,Excavata ,,,,,
Microsporidia,Protozoa,Fungi,,,,,
Hyalochlorella,Protozoa,Trebouxiophyceae,,,,,
Rhizopoda,Protozoa,incertae,,,,,
Choanozoa,Protozoa,Sarcomastigota,,,,,
Granuloreticulosa,Protozoa,incertae,,,,,
Heliozoa,Protozoa,Hacrobia,,,,,
Haplosporea,Protozoa,Acanthophractida,EOL,,,,
Filosia,Protozoa,incertae,,"not worms, eol",,,
Cercobodo,Protozoa,incertae,,,,,
Phyllomitus,Protozoa,incertae,,,,,
Kirbyella,Protozoa,incertae,,,,,
Myzozoa,Protozoa,incertae,,,,,
Amphimonas,Protozoa,incertae,,,,,
Demordium,Protozoa,incertae,,,,,
Acritarcha,Protozoa,incertae,,,,,
Parastasiella,Protozoa,incertae,,,,,
Dinophyta,Protozoa,Alveolata,SILVA,,,,
Janickiella,Protozoa,incertae,,,,,
Sutivania,Protozoa,incertae,,,,,
Aethiopites,Protozoa,incertae,,,,,
Spermatogonia,Protozoa,incertae,,,,,
Asthmatos,Protozoa,incertae,,,,,
Chitinosperma,Protozoa,incertae,,,,,
Triflagellum,Protozoa,incertae,,,,,
Flagellata,Protozoa,incertae,,,,,
Angulolithina,Protozoa,incertae,,,,,
Balliamonas,Protozoa,incertae,,,,,
Rigidomastix,Protozoa,incertae,,,,,
Tetracilia,Protozoa,incertae,,,,,
Laminanopsis,Protozoa,incertae,,,,,
Waskia,Protozoa,incertae,,,,,
