Taxon  ,Current Parent,Proposed Parent,Reference,Notes,,,http://ec2-54-212-144-245.us-west-2.compute.amazonaws.com/opentree/argus/otol.draft.22@4/cellular-organisms
Nodulinella,Chromista,Foraminifera,WORMS,,,,
Adlerocystis,Chromista,Fungi,http://www.mycobank.org/,genus may not be valid,,,
Alfredinidae,Chromista,Asterigerinidea,WORMS,,,,
Almaenidae,Chromista,Nonionoidea,WORMS,,,,
Radiozoa,Chromista,Rhizaria,WORMS,,,,
Ammolagenidae,Chromista,Hormosinelloidea ,WORMS,,,,
Towella,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Lekithiammina,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Aschemocellidae,Chromista,Hormosinidea ,WORMS,,,,
Rhaphidoscene,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Tosaiidae,Chromista,Turrilinacea,WORMS,,,,
Asiarotalia,Chromista,Ammoniinae ,WORMS,,,,
Xiphophaga,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Mallopela,Chromista,Foraminifera,WORMS,taxon inquirendum ?,,,
Heterolepidae,Chromista,Chilostomellidae ,WORMS,,,,
Cystophrys,Chromista,Lagynidae,WORMS,,,,
Coscinophragmatidae,Chromista,Coscinophragmatidea ,WORMS,,,,
Psammolagynis,Chromista,Foraminifera,WORMS,Foraminifera incertae sedis,,,
Phthanotrochidae,Chromista,Allogromiida,WORMS,,,,
Hormosinellidae,Chromista,Hormosinellidea ,WORMS,,,,
Keramosphaeridae,Chromista,Soritoidea,WORMS,Rhizaria (Infrakingdom) > Checked: verified by a taxonomic editorForaminifera (Phylum) > Checked: verified by a taxonomic editorTubothalamea (Class) > Checked: verified by a taxonomic editorMiliolida (Order) > Checked: verified by a taxonomic editorMiliolina (Suborder) > Checked: verified by a taxonomic editorSoritoidea (Superfamily) ,,,
Schizocladiophyceae,Chromista,Fucistia,WORMS,"Heterokonta (Infrakingdom) > Ochrophyta (Phylum) > Phaeista (Subphylum) > Limnista (Infraphylum) > Fucistia (Superclass)
",Heterokonta= Stramenopiles,,
Echinogromia,Chromista,Foraminifera ,WORMS,Foraminifera incertae sedis,,,
Bolivinellidae,Chromista,Cassidulinidea ,WORMS,,,,
Bagginidae,Chromista,Discorbidea ,WORMS,,,,
Bronnimannidae,Chromista,Discorbidea,WORMS,,,,
Apogromia,Chromista,,WORMS,,,,
Fabulariidae,Chromista,Alveolinidea ,WORMS,,,,
Verneuilinidae,Chromista,Verneuilinidea ,WORMS,,,,
Tubinellidae,Chromista,Miliolacea,WORMS,Checked: verified by a taxonomic editorRhizaria (Infrakingdom) > Checked: verified by a taxonomic editorForaminifera (Phylum) > Checked: verified by a taxonomic editorTubothalamea (Class) > Checked: verified by a taxonomic editorMiliolida (Order) > Checked: verified by a taxonomic editorMiliolina (Suborder) > Checked: verified by a taxonomic editorMiliolacea (Superfamily) ,,,
Lagunculina,Chromista,Foraminifera ,WORMS,Foraminifera incertae sedis,,,
Conotrochamminidae,Chromista,Verneuilinidea ,WORMS,,,,
Heterogromia,Chromista,Lagynidae ,WORMS,,,,
Cribrolinoididae,Chromista,,WORMS,,,,
Placentulinidae,Chromista,Discorbidea ,WORMS,,,,
Ciliophrydae,Chromista,Heliozoa ,WORMS,Hacrobia (Subkingdom) > Checked: verified by a taxonomic editorHeliozoa (Phylum) > Checked: verified by a taxonomic editorHeliozoa incertae sedis (Class),,,
Haplophragmoididae,Chromista,Lituolida,WORMS,,,,
Asterigerinatidae,Chromista,Asterigerinidea,WORMS,,,,
Notorotaliidae,Chromista,Rotaliida,WORMS,,,,
Septammina,Chromista,Foraminifera ,WORMS,,,,
Reophaxopsis,Chromista,Foraminifera,WORMS,,,,
Ammosigmoinella,Chromista,Miliolina,WORMS,,,,
Notodendrodidae,Chromista,Astrorhizidea ,WORMS,,,,
Louisianinidae,Chromista,Planorbulinacea,WORMS,,,,
Stictogongylus,Chromista,Foraminifera ,WORMS,,,,
Spiroloculinidae,Chromista,Miliolida,WORMS,,,,* Diatomea is unaccepted = Bacillariophyta
Chrysalidinidae,Chromista,Chrysalidinidea ,WORMS,,,,
Dendropela,Chromista,Foraminifera ,WORMS,Foraminifera incertae sedis,,,
Remaneicidae,Chromista,Trochamminidae,WORMS,,,,
Ceratestina,Chromista,Allogromiida,WORMS,,,,
Conicotheca,Chromista,Allogromiida,WORMS,,,,
Planispirillinidae,Chromista,Spirillinina,WORMS,,,,
Rotaliporidae,Chromista,,,,,,
Turriclavula,Chromista,,,,,,
Camurammina,Chromista,,,,,,
Aperneroum,Chromista,,,,,,
Plectofrondiculariidae,Chromista,,,,,,
Discospirinidae,Chromista,,,,,,
Glandulonodosariidae,Chromista,,,,,,
Cheilochanidae,Chromista,,,,,,
Cryptophyta,Chromista,,,,,,
Stacheia,Chromista,,,,,,
Buccinina,Chromista,,,,,,
Scidiaceae,Chromista,,,,,,
Paratikhinellidae,Chromista,,,,,,
Valvorotalia,Chromista,,,,,,
Ammochilostoma,Chromista,,,,,,
Haddoniidae,Chromista,,,,,,
Komokiidae,Chromista,,,,,,
Bolivinoididae,Chromista,,,,,,
Diaphoropodon,Chromista,,,,,,
Globanomalinidae,Chromista,,,,,,
Lituolina,Chromista,,,,,,
Bowseria,Chromista,,,,,,
Ellipsolagenidae,Chromista,,,,,,
Stilostomellidae,Chromista,,,,,,
Trichohyalidae,Chromista,,,,,,
Placidiaceae,Chromista,,,,,,
Radiatobolivina,Chromista,,,,,,
Dusenburyinidae,Chromista,,,,,,
Parrelloididae,Chromista,,,,,,
Hyphochytriomycota,Chromista,,,,,,
Placopsilinidae,Chromista,,,,,,
Arboramminidae,Chromista,,,,,,
Rotalites,Chromista,,,,,,
Cuneolinidae,Chromista,,,,,,
Octonoradiolus,Chromista,,,,,,
Rhapydioninidae,Chromista,,,,,,
Olgiidae,Chromista,,,,,,
Bisacciidae,Chromista,,,,,,
Chrysalogoniidae,Chromista,,,,,,
Trimosinidae,Chromista,,,,,,
Capsammina,Chromista,,,,,,
Scurciatoforamen,Chromista,,,,,,
Heronalleniidae,Chromista,,,,,,
Virgulinellidae,Chromista,,,,,,
Bueningiidae,Chromista,,,,,,
Pninaella,Chromista,,,,,,
Umbellina,Chromista,,,,,,
Tortoplectellidae,Chromista,,,,,,
Crambis,Chromista,,,,,,
Caecitellidae,Chromista,,,,,,
Cornuspiridae,Chromista,,,,,,
Halyphysemidae,Chromista,,,,,,
Trochamminula,Chromista,,,,,,
